TIPO;IDENTIFICACION;APELLIDO;NOMBRE;CARRERA_INDEFINIDA;INSCRIPCION;DOCUMENTACION;MATRICULA;EMAIL;TELEFONO;SEDE;SEXO;RESIDENCIA;TITULO;EGRESO;UNIVERSIDAD;NACIMIENTO;POSGRADO
NULL;34;2B;4F;DOCTORADO Z;2022-02-22 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;35;18a;3E;MAESTR Z;2020-08-07 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;36;2B;4F;ESPECIALIZACIO R;2021-07-23 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;37;19a;3E;MAESTR Y;2022-02-15 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;38;2B;4F;DOCTORADO Y;2022-03-04 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;39;20a;3E;MAESTR Y;2020-08-09 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;40;2B;4F;MAESTR X;2022-03-03 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;41;21a;3E;ESPECIALIZACI W;2021-03-30 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;42;2B;4F;ESPECIALIZACI X;2022-03-03 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;43;22a;3E;MAESTR Y;2020-07-17 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;44;2B;4F;ESPECIALIZACI W;2021-02-07 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;45;23a;3E;MAESTR Y;2022-02-07 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;46;2B;4F;MAESTR Y;2020-09-29 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;47;24a;3E;MAESTR Y;2020-07-28 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;48;2B;4F;MAESTR Y;2020-07-13 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;49;25a;3E;ESP.X;2020-08-03 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;50;2B;4F;CARRERA INDEFINIDA;2020-10-30 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;51;26a;3E;DOCTORADO Y;2022-03-11 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;52;2B;4F;DOCTORADO Z;2022-02-24 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;53;27a;3E;DOCTORADO Y;2021-02-16 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;54;2B;4F;ESPECIALIZACI W;2021-02-21 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;55;28a;3E;MAESTR Z;2020-07-16 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;56;2B;4F;ESPECIALIZACIO R;2021-08-10 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;57;29a;3E;ESPECIALIZACIO R;2021-07-29 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;58;2B;4F;MAESTR Z;2020-08-13 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;59;30a;3E;MAESTR Y;2020-08-13 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;60;2B;4F;DOCTORADO Z;2021-03-23 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;61;31a;3E;MAESTR Y;2020-08-21 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;62;2B;4F;ESPECIALIZACI X;2021-02-27 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;63;32a;3E;ESPECIALIZACIO R;2021-08-02 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;64;2B;4F;MAESTR Y;2022-02-15 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;65;33a;3E;ESPECIALIZACI W;2022-03-09 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;66;2B;4F;ESPECIALIZACI W;2022-02-07 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;67;34a;3E;MAESTR X;2021-02-07 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;68;2B;4F;ESP.X;2021-06-14 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;69;35a;3E;ESPECIALIZACI W;2022-03-10 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;70;2B;4F;MAESTR X;2022-03-04 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;71;36a;3E;MAESTR X;2021-02-12 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;72;2B;4F;MAESTR Y;2020-08-03 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;73;37a;3E;ESPECIALIZACIO R;2021-07-29 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;74;2B;4F;MAESTR Z;2020-07-14 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;75;38a;3E;ESP.X;2021-06-29 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;76;2B;4F;DOCTORADO Z;2021-03-19 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;77;39a;3E;MAESTR Z;2021-08-11 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;78;2B;4F;ESP.X;2020-07-03 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;79;40a;3E;MAESTR Y;2020-08-12 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;80;2B;4F;DOCTORADO Z;2021-03-08 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;81;41a;3E;ESPECIALIZACIO R;2021-03-26 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;82;2B;4F;ESPECIALIZACI X;2021-03-29 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;83;42a;3E;ESP.X;2021-07-20 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;84;2B;4F;Diplomatura X;2021-07-30 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;85;43a;3E;ESPECIALIZACIO R;2020-07-08 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;86;2B;4F;ESPECIALIZACIO R;2021-07-26 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;87;44a;3E;ESPECIALIZACI A;2022-02-09 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;88;2B;4F;MAESTR Z;2020-08-08 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;89;45a;3E;ESP.X;2020-08-14 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;90;2B;4F;ESPECIALIZACI X;2021-03-11 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;91;46a;3E;ESPECIALIZACIO R;2021-07-13 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;92;2B;4F;DOCTORADO Z;2022-02-09 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;93;47a;3E;ESPECIALIZACIO R;2020-07-04 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;94;2B;4F;MAESTR Y;2020-08-12 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;95;48a;3E;ESPECIALIZACIO R;2022-02-26 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;96;2B;4F;MAESTR Y;2020-08-03 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;97;49a;3E;ESPECIALIZACI X;2022-03-25 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;98;2B;4F;ESP.X;2021-07-06 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;99;50a;3E;MAESTR X;2022-03-28 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;100;2B;4F;ESP.X;2020-08-12 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;101;51a;3E;ESPECIALIZACI X;2022-03-15 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;102;2B;4F;ESPECIALIZACIO R;2021-08-11 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;103;52a;3E;ESP.X;2021-07-12 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;104;2B;4F;ESP.X;2021-06-10 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;105;53a;3E;DOCTORADO Z;2022-03-05 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;106;2B;4F;CARRERA INDEFINIDA;2020-10-30 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;107;54a;3E;MAESTR Z;2020-07-24 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;108;2B;4F;MAESTR Z;2020-06-26 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;109;55a;3E;MAESTR Z;2020-07-29 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;110;2B;4F;ESP.X;2020-08-13 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;111;56a;3E;ESPECIALIZACI X;2022-02-21 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;112;2B;4F;ESPECIALIZACI A;2020-08-14 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;113;57a;3E;MAESTR Z;2021-07-16 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;114;2B;4F;ESP.X;2020-07-17 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;115;58a;3E;ESPECIALIZACI A;2022-02-15 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;116;2B;4F;ESPECIALIZACI A;2020-08-11 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;117;59a;3E;MAESTR Z;2020-07-03 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;118;2B;4F;ESPECIALIZACIO R;2020-08-10 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;119;60a;3E;DOCTORADO Y;2022-02-05 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;120;2B;4F;MAESTR Z;2020-08-14 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;121;61a;3E;ESPECIALIZACI W;2022-02-17 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;122;2B;4F;MAESTR Y;2020-07-17 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;123;62a;3E;ESP.X;2020-08-11 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;124;2B;4F;ESP.X;2020-07-16 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;125;63a;3E;MAESTR Y;2020-08-07 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;126;2B;4F;MAESTR X;2020-08-14 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;127;64a;3E;DOCTORADO Z;2022-03-11 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;128;2B;4F;MAESTR Z;2021-07-08 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;129;65a;3E;ESPECIALIZACIO R;2022-03-01 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;130;2B;4F;ESPECIALIZACIO R;2022-03-09 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;131;66a;3E;ESPECIALIZACIO R;2022-02-21 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;132;2B;4F;DOCTORADO Y;2022-03-01 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;133;67a;3E;ESP.X;2021-07-21 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;134;2B;4F;MAESTR Z;2021-08-13 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;135;68a;3E;MAESTR Y;2022-02-01 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;136;2B;4F;ESPECIALIZACI W;2021-02-18 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;137;69a;3E;MAESTR Z;2021-06-07 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;138;2B;4F;MAESTR Y;2020-08-10 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;139;70a;3E;ESPECIALIZACI X;2022-02-12 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;140;2B;4F;MAESTR Y;2022-02-10 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;141;71a;3E;DOCTORADO Z;2021-03-20 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;142;2B;4F;MAESTR Y;2020-08-09 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;143;72a;3E;DOCTORADO Z;2021-03-19 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;144;2B;4F;MAESTR Y;2022-02-02 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;145;73a;3E;ESP.X;2021-06-10 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;146;2B;4F;MAESTR Z;2020-07-30 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;147;74a;3E;ESPECIALIZACI X;2021-03-30 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;148;2B;4F;DOCTORADO Z;2022-02-15 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;149;75a;3E;ESP.X;2021-07-02 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;150;2B;4F;MAESTR Y;2020-07-24 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;151;76a;3E;MAESTR Z;2020-08-13 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;152;2B;4F;MAESTR Z;2021-06-08 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;153;77a;3E;MAESTR Z;2020-08-08 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;154;2B;4F;ESP.X;2020-08-12 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;155;78a;3E;DOCTORADO Z;2022-03-09 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;156;2B;4F;MAESTR Y;2020-08-11 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;157;79a;3E;ESPECIALIZACI X;2021-03-29 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;158;2B;4F;ESPECIALIZACI W;2022-03-10 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
